Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1102.2,CTCFL,0.15,48,1.9,8408,2.6,Down,49804.5,0.069640939405668,25,18,3292,2768,Down,0.103989993836955,-0.356525447478013,-0.212893057729065,-0.983008447532582
MA0787.1,POU3F2,0.15,22,0.9,1782,0.5,Up,49234,0.090142722219107,25,13,3292,1232,Up,0.148966310328356,-1.167566816843315,0.500057954070576,0.826911938922228
MA1508.1,IKZF1,0.02,0,0,442,0.1,Down,46275,0.282665182465667,25,0,3292,410,Down,0.06405436392574,-4.338077327668784,-2.668696028605424,-1.193451277093266
MA0710.1,NOTO,0.12,176,7,22195,6.7,Up,42205.5,0.824886881925506,25,22,3292,3099,Down,0.180777022207863,-0.133860091070095,-0.093424309143451,-0.742856771662131
MA0880.1,Dlx3,0.12,217,8.7,28086,8.5,Up,41376.5,0.962129797788291,25,23,3292,3156,Down,0.279247519358817,-0.089347089837373,-0.05697880091297,-0.554010676166024
MA0030.1,FOXF2,0.12,23,0.9,3350,1,Down,47362,0.19284159950796,25,9,3292,1929,Down,0.025490989841423,-1.097727112565266,-0.653541431925288,-1.59361330010071
MA0071.1,RORA,0.03,11,0.4,754,0.2,Up,48085,0.146007040782396,25,9,3292,648,Up,0.072011961037296,-1.884251394710044,0.919507132364267,1.142595362165058
MA0489.1,JUN(var.2),0.05,11,0.4,1865,0.6,Down,44765.5,0.448501474811206,25,5,3292,1007,Down,0.285208745275849,-1.960698662531373,-0.504590121605651,-0.544837161965984
MA0513.1,SMAD2::SMAD3::SMAD4,0.13,14,0.6,2361,0.7,Down,46632,0.250477962421047,25,9,3292,1651,Down,0.166709996450469,-1.209952149693131,-0.429091357669558,-0.778038357741805
MA0640.2,ELF3,0.04,2,0.1,928,0.3,Down,47718.5,0.168527169355671,25,2,3292,779,Down,0.093793710502611,-2.714529879765113,-1.271934734638041,-1.027826283002496
MA0069.1,PAX6,0.15,0,0,137,0,Down,42750,0.737317869770068,25,0,3292,128,Down,0.623367394487636,-5.175884258960747,-0.993082166021497,-0.205255917433619
MA0833.2,ATF4,0.09,1,0,560,0.2,Down,45902.5,0.319121664548383,25,1,3292,510,Down,0.161347302740403,-3.388331707758208,-1.398262266984264,-0.792238290345298
MA0104.4,MYCN,0.11,2,0.1,1394,0.4,Down,47095.5,0.212635002245766,25,1,3292,604,Down,0.069113351449015,-3.266416018572546,-1.642093645355586,-1.160438046684879
MA0602.1,Arid5a,0.15,155,6.2,18371,5.6,Up,41804,0.890953547001381,25,19,3292,2755,Down,0.281629238725027,-0.321946218210309,-0.130153809797876,-0.550322258770868
MA0807.1,TBX5,0.08,25,1,3048,0.9,Up,43525,0.618575535663063,25,16,3292,1918,Up,0.685233692022149,-0.703617949077063,0.151173452928041,0.164161291503997
MA0081.2,SPIB,0.11,2,0.1,820,0.2,Down,46723,0.242699680631563,25,2,3292,702,Down,0.139379619562634,-2.789555278559861,-1.121883937048545,-0.855800725223456
MA0820.1,FIGLA,0.13,153,6.1,18903,5.7,Up,43556,0.614002300553832,25,24,3292,3227,Down,0.396070782636084,-0.043240921402806,-0.028949152906964,-0.402227193465265
MA1532.1,NR1D2,0.15,5,0.2,466,0.1,Up,43955,0.556524973435929,25,5,3292,426,Up,0.362200549033137,-2.580779758579892,0.735572070491388,0.441050895706441
MA0673.1,NKX2-8,0.02,8,0.3,1450,0.4,Down,45185.5,0.397575018052641,25,6,3292,1139,Down,0.299656345232045,-1.751384069854492,-0.441203107951824,-0.523376521671527
MA0778.1,NFKB2,0.13,0,0,1289,0.4,Down,48825,0.107636713056377,25,0,3292,614,Down,0.008730826600939,-4.047061933371356,-3.250726817200281,-2.058944637023846
MA0889.1,GBX1,0.01,9,0.4,795,0.2,Up,44841.5,0.439020975443227,25,7,3292,641,Up,0.308707270369194,-2.062598508208586,0.594127523691217,0.510453142322113
MA0741.1,KLF16,0.06,5,0.2,1881,0.6,Down,50512.5,0.049686075461737,25,4,3292,1255,Down,0.022864341174503,-1.94671087620078,-1.111578928656807,-1.640841308099183
MA0511.2,RUNX2,0.1,39,1.6,4077,1.2,Up,48646,0.116093677017891,25,21,3292,2344,Up,0.187869403486137,-0.368031874346227,0.243742574153658,0.726143943577573
MA0469.3,E2F3,0.12,0,0,3,0,Down,41175,0.995818514484677,25,0,3292,2,Down,0.999999999988952,-8.017732486114005,4.690614288285018,0.000000000004798
MA1566.1,TBX3,0.05,51,2,7488,2.3,Down,43361,0.643012501428664,25,20,3292,2893,Down,0.2188667435027,-0.250620566863514,-0.128505540979795,-0.659820223861555
