Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0687.1,SPIC,0.05,2,0.1,73,0,Up,66042,0.754377377927954,39,2,3291,73,Up,0.21877142846735,-4.733354895435932,1.503004484292383,0.660009397462948
MA1124.1,ZNF24,0.14,1,0,387,0.1,Down,68140.5,0.506404820831633,39,1,3291,286,Down,0.251620185236018,-4.120478200558765,-1.196680093794365,-0.599254522268952
MA0876.1,BSX,0.02,64,1.6,4614,1.4,Up,71703,0.207203792552807,39,31,3291,2295,Up,0.221215024081811,-0.423218795191654,0.193435941028935,0.655185380738728
MA0136.2,ELF5,0.05,12,0.3,1997,0.6,Down,76278.5,0.04257548802979,39,10,3291,1420,Down,0.03348899593949,-1.561904845813644,-0.699116959169397,-1.475097873196941
MA0799.1,RFX4,0.05,1,0,62,0,Up,65143,0.871102520211384,39,1,3291,34,Up,0.339303997593549,-5.647411636548132,1.857186778184371,0.469411023577424
MA0777.1,MYBL2,0.15,0,0,201,0.1,Down,66787.5,0.661552672840713,39,0,3291,134,Down,0.405339064783274,-5.458423934019483,-1.69071362831524,-0.392181538863166
MA1547.1,PITX2,0,6,0.2,232,0.1,Up,68093,0.511510068308306,39,5,3291,226,Up,0.189171643734191,-3.352755685956029,1.016813112832446,0.723143962504579
MA0515.1,Sox6,0.15,147,3.8,13220,4,Down,68587,0.459754742358741,39,34,3291,3167,Down,0.016136084949116,-0.125328434894625,-0.139855713008619,-1.792201828427231
MA0888.1,EVX2,0.02,67,1.7,6141,1.9,Down,72059,0.186523269612917,39,21,3291,2208,Down,0.087938411041075,-0.72659717942667,-0.301837628096671,-1.055821385911306
MA1478.1,DMRTA2,0.1,142,3.6,11737,3.6,Up,68473.5,0.471380026811758,39,34,3291,3093,Down,0.085492336901706,-0.142380727601892,-0.105751127594084,-1.068072811475961
MA1607.1,Foxl2,0.1,11,0.3,982,0.3,Down,69063.5,0.41273993513171,39,6,3291,821,Down,0.195315248105664,-2.302876873752212,-0.600928312567598,-0.709263850364736
MA0131.2,HINFP,0.05,4,0.1,620,0.2,Down,69110,0.408309688160193,39,3,3291,512,Down,0.262205453018854,-3.089773557072589,-0.81330453809382,-0.581358280642226
MA1494.1,HNF4A(var.2),0.15,0,0,123,0,Down,66534,0.692621345362182,39,0,3291,121,Down,0.401178438160231,-5.531748863494905,-1.544063769364397,-0.396662416727571
MA0502.2,NFYB,0.05,5,0.1,274,0.1,Up,67331,0.596926112081752,39,5,3291,258,Up,0.230233320101612,-3.257429070821679,0.826159882563747,0.637831823672819
MA1594.1,ZNF382,0.12,0,0,2,0,Down,64213.5,0.99478674893754,39,0,3291,2,Down,0.999999999996891,-8.333191067854115,4.058820639354022,0.00000000000135
MA0518.1,Stat4,0.14,114,2.9,9916,3,Down,65562.5,0.816119097074494,39,33,3291,2995,Down,0.160477307146689,-0.186819960986344,-0.101743193465972,-0.79458637184326
MA0482.2,GATA4,0.08,4,0.1,809,0.2,Down,71296.5,0.232795587174554,39,4,3291,692,Down,0.1142457791297,-2.691357484108364,-0.884996525252854,-0.942159836199401
MA0098.3,ETS1,0.1,11,0.3,2018,0.6,Down,77354.5,0.02723597972023,39,8,3291,1349,Down,0.008703918867057,-1.751319063939199,-0.929997685975128,-2.060285165871293
MA0508.3,PRDM1,0.01,28,0.7,1423,0.4,Up,76094,0.045831659434718,39,20,3291,1137,Up,0.04084066037645,-1.239553698002043,0.586649908886047,1.388907244167659
MA1580.1,ZBTB32,0.12,16,0.4,1891,0.6,Down,71375,0.227686433017712,39,12,3291,1363,Down,0.194368798892598,-1.465677527952801,-0.388494060899154,-0.711373449061556
MA0073.1,RREB1,0.14,7,0.2,285,0.1,Up,67497.5,0.577718242115351,39,5,3291,262,Up,0.236556211470101,-3.246352499702404,0.804006740325196,0.626065643803231
MA0854.1,Alx1,0.01,1,0,8,0,Up,65664,0.802939815682099,39,1,3291,8,Up,0.100715506920248,-6.657942444312048,3.878248393712201,0.996903657039076
MA1523.1,MSANTD3,0.04,26,0.7,1970,0.6,Up,69878.5,0.339262753771793,39,22,3291,1443,Up,0.14363431965209,-1.000550871014967,0.377246438335077,0.842741778375626
MA0003.4,TFAP2A,0.06,11,0.3,1831,0.6,Down,75932,0.04886134010598,39,9,3291,1342,Down,0.031722833392905,-1.674838172139615,-0.762030125187805,-1.498628029678887
MA1597.1,ZNF528,0.05,0,0,1,0,Down,64194,0.997393360558627,39,0,3291,1,Down,0.999999999994679,-8.701673864937217,4.795786233520228,0.000000000002311
MA1128.1,FOSL1::JUN,0.02,3,0.1,114,0,Up,66979.5,0.638399806340284,39,3,3291,109,Up,0.141818301212637,-4.203084124468406,1.413316596697815,0.84826772117835
MA0663.1,MLX,0.07,5,0.1,278,0.1,Up,66248,0.728302076798185,39,3,3291,145,Up,0.24942038106931,-3.998039982814851,1.003228313390705,0.603068061586078
MA0151.1,Arid3a,0.06,173,4.4,12835,3.9,Up,67722.5,0.552233742791122,39,38,3291,2853,Up,0.053323471553908,-0.121503421112119,0.169018427259835,1.273081584171401
MA0704.1,Lhx4,0.08,85,2.2,6889,2.1,Up,67763.5,0.547650039771655,39,24,3291,2322,Down,0.220291186345507,-0.596068752605183,-0.186004302913423,-0.657002878237713
MA1540.1,NR5A1,0.05,22,0.6,2031,0.6,Down,68542.5,0.464293440189381,39,14,3291,1474,Down,0.331415043613571,-1.30215956420314,-0.28728037769278,-0.479627781945414
MA0512.2,Rxra,0,0,0,1,0,Down,64194,0.997393360558627,39,0,3291,1,Down,0.999999999994679,-8.701673864937217,4.795786233520228,0.000000000002311
MA0850.1,FOXP3,0.11,119,3.1,9888,3,Up,64478,0.959447399239902,39,32,3291,2966,Down,0.103331709527728,-0.215698175053572,-0.131429520190153,-0.985766385550116
MA0709.1,Msx3,0.05,75,1.9,5637,1.7,Up,65759,0.790655018677672,39,21,3291,2028,Down,0.32515549057869,-0.78792394434361,-0.179184098262791,-0.487908908093435
MA1638.1,HAND2,0,0,0,8,0,Down,64330.5,0.97914922114866,39,0,3291,8,Down,1.000000000001234,-7.450423694672626,2.293285892991045,-0.000000000000536
MA0157.2,FOXO3,0.01,2,0.1,411,0.1,Down,68305,0.488933732623132,39,2,3291,379,Down,0.310120666187854,-3.549213030146381,-0.86527924628672,-0.508469291768833
MA0102.4,CEBPA,0.12,13,0.3,1529,0.5,Down,74957,0.070847698757857,39,6,3291,1172,Down,0.006958345121819,-2.046249152525879,-1.114183755020263,-2.157494034803049
