,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Atg9b,0.032023269,2.941782644,0.063491414,0.949430421,0.999823494,-4.696059804,0.06342206
Atic,0.058522214,6.50065246,0.523272891,0.600787538,0.999823494,-5.205007657,0.523268328
Atl1,0.075112471,6.0778304,0.227864673,0.819772332,0.999823494,-4.876657956,0.227837809
Atl2,-0.011394799,5.700018413,-0.089119386,0.928989167,0.999823494,-5.065445578,-0.089116698
Atl3,0.16252872,4.757703612,1.162330235,0.245112638,0.999823494,-4.742709019,1.162302436
Atm,-0.19496566,5.514882817,-0.865791682,0.386765605,0.999823494,-4.681953068,-0.865497833
Atmin,0.087455975,6.523978667,0.231253308,0.817432673,0.999823494,-4.6681184,0.230848279
Atn1,0.08039423,7.948172611,0.820798912,0.411764647,0.999823494,-5.102244114,0.820792191
Atoh8,-0.419576468,0.447305447,-0.590195438,0.559668511,0.999823494,-4.609985673,-0.583333951
Atox1,-0.122427322,6.085192601,-0.732805814,0.463680339,0.999823494,-5.150074359,-0.732800135
Atp10a,0.095639886,4.85288562,0.668052362,0.504105166,0.999823494,-5.103079676,0.668044533
Atp10b,-0.356913518,2.266109755,-0.614048049,0.541531334,0.999823494,-4.620971831,-0.610498958
Atp10d,0.017478264,5.036379063,0.032009591,0.974465571,0.999823494,-5.00386148,0.032008126
Atp11a,0.099854324,5.950119728,0.700194681,0.483809178,0.999823494,-5.158861594,0.700189164
Atp11b,0.027292287,5.566630017,0.16348915,0.870134107,0.999823494,-5.326183987,0.163488144
Atp11c,-0.003098804,3.479245625,-0.014081348,0.988765987,0.999823494,-4.924526113,-0.014080213
Atp13a1,0.083201154,6.354096239,1.296200174,0.194911897,0.999823494,-4.724779369,1.29618459
Atp13a2,0.065454978,7.995380239,0.457518904,0.647300958,0.999823494,-5.225040852,0.457514951
Atp13a3,0.139268041,4.846919309,0.903122913,0.366468791,0.999823494,-4.942620032,0.903107599
Atp13a4,-0.235931081,3.245320672,-0.524388587,0.60007174,0.999823494,-4.804450968,-0.52429735
Atp13a5,-0.385123011,2.16605555,-0.865944518,0.387036436,0.999823494,-4.639749184,-0.865004286
Atp1a1,0.038002624,10.44956645,0.072072078,0.94284077,0.999823494,-4.629653059,0.071699856
Atp1a2,-0.258856636,9.770573596,-0.908065535,0.363918801,0.999823494,-4.71398924,-0.907923197
Atp1a3,0.005835714,9.841201827,0.016686597,0.986686879,0.999823494,-5.148078202,0.016686297
Atp1b1,-0.031754581,10.61244071,-0.146414659,0.883601266,0.999823494,-4.959592614,-0.146405524
Atp1b2,-0.174462863,8.591306624,-0.738446482,0.460367393,0.999823494,-4.72456979,-0.738242019
Atp1b3,0.026973576,7.73088138,0.224728085,0.822192077,0.999823494,-5.297381725,0.224726462
Atp1b4,0.457616675,-0.901334343,1.00553683,0.3157688,0.999823494,-4.603477727,1.003190823
Atp23,-0.042213666,2.62564847,-0.096698038,0.923207724,0.999823494,-4.647581363,-0.096393916
Atp2a1,-0.689872837,1.838486835,-0.882320496,0.377860811,0.999823494,-4.661744963,-0.881844672
Atp2a2,0.090880575,8.678658212,0.419460022,0.674947954,0.999823494,-4.795624571,0.419366977
Atp2a3,-0.340115523,4.201967658,-0.425514813,0.670474005,0.999823494,-4.985745281,-0.425497553
Atp2b1,0.234654735,7.71922412,2.492592141,0.012684407,0.732036901,-3.306520624,2.492509137
Atp2b2,-0.14871687,6.377123437,-0.636512271,0.524513463,0.999823494,-4.783693067,-0.636403496
Atp2b3,0.160168082,6.303614321,0.462961828,0.643458838,0.999823494,-4.797924953,0.462868206
