Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0150.2,Nfe2l2,0.13,2,0.4,354,0.2,Up,7379.5,0.318881795809523,5,2,2347,322,Up,0.142516803807685,-2.000628807990228,1.726250568480586,0.846133926036506
MA0721.1,UNCX,0.01,11,2.2,3036,1.3,Up,7634,0.244208127549484,5,4,2347,1126,Up,0.201454061309267,-0.674392230750347,0.769771227110724,0.695823972820528
MA0068.2,PAX4,0.06,16,3.2,3966,1.7,Up,8352,0.101450636710903,5,5,2347,1422,Up,0.163742348533743,-0.361348252673596,0.722696505347193,0.785838984876407
MA0816.1,Ascl2,0.04,4,0.8,564,0.2,Up,7502,0.281250571421992,5,2,2347,317,Up,0.138775622274666,-2.011900092315772,1.748793137131674,0.857686816600334
MA0161.2,NFIC,0.01,2,0.4,690,0.3,Up,6651.5,0.605269468642717,5,2,2347,588,Up,0.60460892208573,-1.566757180626314,0.858507313752758,0.218525448319284
MA0745.2,SNAI2,0.08,5,1,1964,0.8,Up,6979.5,0.46351835865635,5,4,2347,1280,Up,0.384983840969707,-0.581962261069327,0.584911287748684,0.414557498868036
MA1147.1,NR4A2::RXRA,0.08,1,0.2,41,0,Up,6942.5,0.478526724850231,5,1,2347,39,Up,0.08225806986258,-3.883798906140087,4.018659576447893,1.084821485172881
MA1629.1,Zic2,0.14,5,1,2235,1,Up,6680,0.592217199065602,5,4,2347,1299,Up,0.388985741160121,-0.571337570631961,0.563661906873952,0.410066318080396
MA0815.1,TFAP2C(var.3),0.08,3,0.6,895,0.4,Up,6953.5,0.474037243773262,5,2,2347,446,Up,0.243237183695883,-1.765948300584925,1.256889553669979,0.613970033677464
MA1487.1,FOXE1,0.01,1,0.2,6,0,Up,7026,0.445034133560822,5,1,2347,6,Up,0.014805158330439,-5.185469421158093,6.622000606483904,1.829586943785101
MA0847.2,FOXD2,0.06,2,0.4,195,0.1,Up,7731.5,0.21914381158496,5,2,2347,192,Up,0.057308212757363,-2.372849165354404,2.470691283208938,1.24178313545637
MA0056.2,MZF1,0.05,6,1.2,1678,0.7,Up,7631.5,0.244876245963241,5,4,2347,1138,Up,0.205579072121226,-0.66674874179975,0.75448424920953,0.687021098455337
MA0872.1,TFAP2A(var.3),0.03,1,0.2,141,0.1,Up,6756.5,0.557837196851522,5,1,2347,107,Up,0.209614997152745,-3.161592855433909,2.574247475035536,0.67857764846465
MA1152.1,SOX15,0.06,16,3.2,7868,3.4,Down,6966.5,0.468761473592823,5,4,2347,2133,Down,0.381057931115747,-0.213704832267505,-0.151603569854959,-0.419008994793237
