Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0600.2,RFX2,0.07,0,0,42,0,Down,20436,0.966578852957594,13,0,3123,21,Down,0.999999999987841,-5.968785281013442,2.427795557699947,0.000000000005281
MA0705.1,Lhx8,0.03,2,0.2,3248,1,Down,26179.5,0.071090412111462,13,1,3123,1118,Down,0.040514090724319,-2.325761637474354,-1.688326727935918,-1.392393903710886
MA0628.1,POU6F1,0.04,2,0.2,3246,1,Down,26179,0.071114436567535,13,1,3123,1118,Down,0.040514090724319,-2.325761637474354,-1.688326727935918,-1.392393903710886
MA0072.1,RORA(var.2),0.14,4,0.3,726,0.2,Up,22225.5,0.554388654578686,13,4,3123,640,Up,0.319071645125725,-1.935427777472512,0.700930553502711,0.49611178845013
MA1499.1,HOXB4,0.1,28,2.2,13654,4.4,Down,27479,0.027539227862712,13,8,3123,2776,Down,0.010378851586786,-0.418660397443456,-0.497528526939346,-1.983850698232636
MA0852.2,FOXK1,0.12,8,0.6,3676,1.2,Down,25209.5,0.131771581948766,13,6,3123,1970,Down,0.251915667818716,-0.859524782225028,-0.389846003594696,-0.598744820848027
MA1103.2,FOXK2,0.15,12,0.9,4898,1.6,Down,25032,0.146316003963888,13,7,3123,2241,Down,0.212753211879721,-0.663347968534888,-0.369297876040125,-0.672123874763421
MA0077.1,SOX9,0.12,19,1.5,5259,1.7,Down,21810,0.642893812203705,13,7,3123,2328,Down,0.108695367844642,-0.635879777150068,-0.424234258809764,-0.963788963387268
MA0660.1,MEF2B,0.01,1,0.1,5,0,Up,21828.5,0.638830017268859,13,1,3123,5,Up,0.02463554632066,-6.159720598685265,5.979591194485903,1.608437802318756
MA0911.1,Hoxa11,0.03,1,0.1,30,0,Up,21666,0.674883666766144,13,1,3123,30,Up,0.121374058095973,-4.92406773922247,3.508285475560314,0.915874127343947
MA0088.2,ZNF143,0.14,1,0.1,165,0.1,Up,20824.5,0.87197389018973,13,1,3123,159,Up,0.494458274217305,-3.730730101121478,1.121610199358332,0.305870351269541
MA0751.1,ZIC4,0.08,2,0.2,331,0.1,Up,21485,0.715935689280493,13,2,3123,293,Up,0.349548991168157,-2.922345264365784,0.978771714179356,0.456491946948605
MA0091.1,TAL1::TCF3,0.11,1,0.1,1584,0.5,Down,26266,0.067033231984469,13,1,3123,1131,Down,0.040009739111402,-2.317425973370467,-1.704998056143692,-1.397834280484231
MA1552.1,RARB(var.3),0.08,0,0,26,0,Down,20436,0.966578852957594,13,0,3123,21,Down,0.999999999987841,-5.968785281013442,2.427795557699947,0.000000000005281
MA0607.1,Bhlha15,0.15,68,5.2,17936,5.7,Down,21406,0.734122773334882,13,11,3123,2929,Down,0.193142490096047,-0.161917313032011,-0.13881646614889,-0.714122173738441
MA0839.1,CREB3L1,0.07,0,0,21,0,Down,20436,0.966578852957594,13,0,3123,21,Down,0.999999999987841,-5.968785281013442,2.427795557699947,0.000000000005281
MA0771.1,HSF4,0.08,2,0.2,229,0.1,Up,22053.5,0.590300726814628,13,2,3123,208,Up,0.21476881816292,-3.169001824198478,1.472084833844744,0.668028772706219
MA0521.1,Tcf12,0.1,41,3.2,6940,2.2,Up,26313,0.064909911229559,13,12,3123,2124,Up,0.074070688171607,-0.333535749320486,0.445008873863484,1.13035362041195
MA1131.1,FOSL2::JUN(var.2),0.14,0,0,1111,0.4,Down,25759.5,0.093742483328339,13,0,3123,840,Down,0.025949594655145,-3.324365653746408,-2.861043696834122,-1.585869421646303
MA0599.1,KLF5,0.11,121,9.3,23887,7.6,Up,21547,0.701773721087303,13,11,3123,2911,Down,0.221008612969335,-0.166363228618575,-0.129924634975762,-0.655590801010966
