,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Ears2,0.087850404,3.642915409,0.553823337,0.579714922,0.932732316,-5.030008898,0.553801178
Echs1,0.06084807,6.889352352,0.554799872,0.579035311,0.932732316,-5.250516829,0.55479438
Gabrg1,0.213021756,4.165744503,0.556400691,0.577952863,0.932732316,-5.01439534,0.556377432
Gnrh1,-0.190677605,1.549514263,-0.55403618,0.579633493,0.932732316,-4.82333521,-0.553920152
Grm6,-0.25355375,2.845665516,-0.555549777,0.578536909,0.932732316,-4.997749949,-0.555523108
Hebp1,-0.121548543,4.805431561,-0.55431856,0.579365705,0.932732316,-5.214395873,-0.554311465
Il1r1,0.174744365,3.897561663,0.55550434,0.578561893,0.932732316,-5.06524804,0.555486571
Iqcj,0.201230634,0.038119732,0.554326449,0.579590933,0.932732316,-4.738934996,0.553982338
Kxd1,0.049488696,6.244785801,0.555999146,0.578214363,0.932732316,-5.306967206,0.555994869
LOC113176145,0.111917666,1.230772314,0.555156649,0.578984518,0.932732316,-4.742075726,0.554868634
LOC113183496,-0.147318492,2.723246762,-0.55439031,0.579343552,0.932732316,-4.924633507,-0.554343842
LOC113186298,0.101051754,3.23439969,0.555108239,0.578843303,0.932732316,-4.969748022,0.555075085
LOC113190962,-0.275771595,-1.050062824,-0.556694379,0.578225154,0.932732316,-4.694319332,-0.555979084
LOC113197559,-0.106220714,2.427065774,-0.555580274,0.57854121,0.932732316,-4.887732718,-0.555516818
LOC113200784,-0.169324482,-0.533943634,-0.554844941,0.57933818,0.932732316,-4.714490491,-0.554351692
LOC113201538,-0.175393543,3.238390698,-0.554851157,0.579015692,0.932732316,-4.988987784,-0.554823061
Map3k8,0.122688157,1.835878002,0.554093448,0.579582291,0.932732316,-4.842593907,0.553994965
Mmd2,-0.108810403,4.237329478,-0.55436715,0.579344259,0.932732316,-5.000745508,-0.554342807
Mphosph6,-0.065229113,2.909536023,-0.556019832,0.578226733,0.932732316,-4.93529387,-0.555976774
Mtss1l,-0.084631166,7.519769177,-0.55349335,0.579929216,0.932732316,-5.261680911,-0.553488116
Nod2,0.180989796,2.497183906,0.554820419,0.579058745,0.932732316,-4.897507599,0.554760125
Nrbp1,0.054883146,7.115145579,0.55366658,0.579810036,0.932732316,-5.299156928,0.55366222
Phkg2,0.053078624,7.207105543,0.553337853,0.580034903,0.932732316,-5.312070329,0.553333737
Ppm1h,0.100156114,6.450456794,0.553753408,0.57975128,0.932732316,-5.256780929,0.553748058
Prr13,0.058086664,5.987852608,0.556679077,0.577749576,0.932732316,-5.315529854,0.556674891
Snf8,0.042812318,6.468617348,0.555320376,0.578678038,0.932732316,-5.341926057,0.555316729
Spcs1,0.038668973,6.956556585,0.55653029,0.577850781,0.932732316,-5.349993648,0.556526796
Ssrp1,0.031046373,7.63498406,0.556090186,0.578151774,0.932732316,-5.335199932,0.556086425
Stox1,-0.220749604,1.693219722,-0.554738236,0.579166045,0.932732316,-4.804272964,-0.554603279
Tnfaip2,0.108723493,3.297078895,0.554901114,0.578983443,0.932732316,-4.982160483,0.554870204
Tor4a,-0.111155585,3.50249654,-0.554753965,0.579077582,0.932732316,-5.031624092,-0.554732589
Tprn,-0.06721515,4.466637765,-0.553931208,0.579639342,0.932732316,-5.034039121,-0.553911605
Twistnb,-0.04969204,4.105599721,-0.554520556,0.579233571,0.932732316,-5.077424239,-0.554504581
Znf524,-0.102395279,3.641752514,-0.553815535,0.57972815,0.932732316,-4.957917594,-0.553781852
Znf624,0.080248659,2.962162113,0.55368198,0.579831852,0.932732316,-4.908133841,0.553630349
Zswim5,-0.063776417,4.542661348,-0.55403275,0.579563484,0.932732316,-5.149451168,-0.554022446
Actr8,0.046484762,6.389031803,0.553255788,0.580091398,0.932735516,-5.290925724,0.55325122
LOC113184432,0.261391585,0.878758637,0.553147684,0.580288976,0.9328779,-4.785692074,0.552962665
Rab23,-0.068979667,5.600996753,-0.553016883,0.580255886,0.9328779,-5.243750657,-0.553010988
Baz1a,-0.098631126,3.035974926,-0.552836351,0.580438383,0.932878684,-4.837033694,-0.552744492
LOC113181121,-0.088658204,1.83085784,-0.552630385,0.580578061,0.932878684,-4.850105214,-0.552540548
LOC113182231,0.243558823,0.882456488,0.552464427,0.580804411,0.932878684,-4.757101686,0.552210106
LOC113182602,0.149931604,1.167098827,0.552739685,0.580535881,0.932878684,-4.811039059,0.552602134
LOC113190777,0.10904262,0.323442039,0.55245663,0.580834592,0.932878684,-4.749766019,0.55216605
Preb,0.044997731,5.999820168,0.552349335,0.580715153,0.932878684,-5.159477596,0.552340404
Scg5,0.054207856,8.898937263,0.55246432,0.580635616,0.932878684,-5.187009654,0.55245652
Vsig1,-0.36413586,4.095170744,-0.552264802,0.580774263,0.932878684,-5.139543648,-0.552254115
Vwa3b,-0.168282259,3.252209176,-0.552313279,0.580764895,0.932878684,-4.920662459,-0.552267791
Znf532,-0.060952775,6.491478605,-0.552860474,0.580361436,0.932878684,-5.342527297,-0.55285685
Col15a1,-0.166654323,3.876553397,-0.551997647,0.580960802,0.932959827,-5.075205077,-0.551981831
Il21r,0.220745268,0.889810423,0.552132957,0.581048667,0.932959827,-4.74668945,0.551853591
Thoc6,-0.098744284,3.665526195,-0.551947742,0.581005635,0.932959827,-4.968336449,-0.551916395
Ercc1,0.08431364,5.339362904,0.55164519,0.581196146,0.93309116,-5.218075394,0.551638365
Opalin,0.315939979,-0.346828993,0.552289581,0.581239512,0.93309116,-4.692405193,0.551575083
Cldn6,-0.240361853,-0.623342277,-0.552064007,0.581362705,0.933113859,-4.694554266,-0.551395325
Fastkd2,-0.049754952,3.984719174,-0.551485334,0.581311478,0.933113859,-5.0847464,-0.551470071
Mgam,-0.139662172,0.932825174,-0.551452884,0.581476136,0.933208395,-4.764966502,-0.551229827
Arhgef25,0.119701413,6.690738197,0.550502185,0.581977948,0.933265896,-5.300968497,0.550497854
Lmln2,0.047183589,3.176708105,0.55049586,0.582002359,0.933265896,-4.969569985,0.550462255
Ppa2,0.030181635,6.470877268,0.550827989,0.581754187,0.933265896,-5.332723259,0.55082421
Rbm19,0.052571491,3.155784268,0.550873167,0.581745314,0.933265896,-4.960246574,0.550837152
Scarb1,0.060145375,4.603965511,0.550480037,0.582002784,0.933265896,-5.043420113,0.550461635
Six4,-0.212101979,2.879048436,-0.550556939,0.581976562,0.933265896,-4.893947087,-0.550499875
Tmem25,0.047117201,4.64129504,0.550572082,0.581933705,0.933265896,-5.161753577,0.550562378
Vps26b,0.069171947,6.776672522,0.550842333,0.581745836,0.933265896,-5.234306596,0.550836389
Xab2,0.047310149,5.493819713,0.551043359,0.581612936,0.933265896,-5.095269089,0.551030253
Agtrap,0.117066108,3.393563076,0.549616804,0.582600251,0.933272149,-5.005364021,0.549590536
Bcam,0.04555237,6.573104675,0.548951324,0.583041368,0.933272149,-5.338652829,0.548947662
Cd164,-0.117141687,6.245329396,-0.548865728,0.583101075,0.933272149,-5.268205298,-0.548860664
Col4a1,-0.120322074,5.55959061,-0.549857876,0.582420837,0.933272149,-5.24561654,-0.549852075
Dock8,-0.142048482,0.069170186,-0.549627835,0.582930105,0.933272149,-4.707536949,-0.549109793
Fsd1,0.076654908,5.876390534,0.548911911,0.583069328,0.933272149,-5.275974894,0.548906921
Klrg1,0.351434788,1.727345759,0.550144338,0.582297719,0.933272149,-4.830909515,0.550031571
LOC113183580,-0.122943478,-0.778572501,-0.549754465,0.58285058,0.933272149,-4.71088723,-0.549225684
LOC113195480,-0.040678119,5.880180921,-0.549039435,0.582982696,0.933272149,-5.226925605,-0.549033157
Pou6f2,0.150672695,2.159101124,0.549336281,0.582835379,0.933272149,-4.853822118,0.549247838
Pus7,-0.073459505,3.920343664,-0.549614733,0.58259693,0.933272149,-5.046986489,-0.549595378
Ralgapa1,-0.043409127,6.852479749,-0.549469122,0.582688074,0.933272149,-5.213907317,-0.549462528
Reep1,0.10740448,5.673816781,0.548793611,0.583151937,0.933272149,-5.20507369,0.548786557
Retreg3,0.030249064,6.155005901,0.550275187,0.582133344,0.933272149,-5.326573313,0.550271244
Sgf29,0.0653538,4.084268511,0.548988235,0.58302487,0.933272149,-5.072367926,0.548971702
Slc25a12,0.067725293,6.578019521,0.550107794,0.582249211,0.933272149,-5.250450854,0.550102297
Sstr4,0.259716525,3.624292365,0.550067029,0.582289138,0.933272149,-5.026735213,0.550044084
Tmem171,0.461582339,-0.238554646,0.549801371,0.582813404,0.933272149,-4.71127428,0.549279864
Tuba4a,0.133559022,7.855056878,0.549629073,0.582576717,0.933272149,-5.308225284,0.549624841
