,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Jpt2,-0.033613148,5.119436946,-0.215760804,0.829175855,0.999972263,-5.302735869,-0.215758684
Jrk,-0.077846927,4.896747458,-1.043405371,0.296768783,0.999972263,-4.914242946,-1.043387667
Jrkl,0.058300423,4.27523867,0.450893048,0.652072178,0.999972263,-5.164887652,0.450885356
Jsrp1,0.507040209,-0.17226156,0.874368019,0.382360047,0.999972263,-4.655233997,0.873556091
Jtb,-0.124835333,6.720927351,-1.014455801,0.310369634,0.999972263,-5.032834308,-1.014446734
Jun,-0.277560022,5.673956411,-1.170232689,0.241975828,0.999972263,-4.63723023,-1.170062474
Jund,-0.203631361,7.374052834,-1.254598457,0.209675365,0.999972263,-4.604141778,-1.254458599
Jup,0.150331469,5.848910552,0.491160182,0.623322657,0.999972263,-5.101162584,0.491146752
Kank1,0.091270706,7.153039325,0.590947773,0.554557866,0.999972263,-5.310658885,0.590944115
Kank3,-0.012314269,4.161158528,-0.062897761,0.94984869,0.999972263,-5.227445488,-0.062896791
Kank4,-0.279390134,0.437934092,-0.887004383,0.376136333,0.999972263,-4.627844625,-0.885037637
Kansl1,-0.038651459,6.771257267,-0.446438488,0.655281932,0.999972263,-5.423894467,-0.446436556
Kansl1l,-0.080275023,6.0586033,-0.927845256,0.353494303,0.999972263,-5.021900411,-0.927832807
Kansl2,-0.056580267,5.606166182,-0.48110974,0.630455291,0.999972263,-5.022491951,-0.481086122
Kansl3,0.034864116,6.457290022,0.317811233,0.750629142,0.999972263,-5.456451472,0.317809898
Kars,-0.038905791,7.200797933,-0.604370587,0.545599256,0.999972263,-5.351611187,-0.604367624
Kat2a,0.057106684,6.247921923,0.447833268,0.65427509,0.999972263,-5.401873883,0.447831109
Kat2b,0.052685607,6.834323975,0.487105787,0.626189981,0.999972263,-5.159251912,0.487096451
Kat5,0.010156579,6.342778545,0.143314461,0.886042288,0.999972263,-5.486796859,0.143313888
Kat6a,0.123726464,6.40236394,1.120091139,0.262679081,0.999972263,-4.964215816,1.120081389
Kat6b,0.002475566,6.545390399,0.027282066,0.978234876,0.999972263,-5.436097825,0.027281922
Kat7,-0.102352573,6.422077929,-0.37449267,0.708399607,0.999972263,-4.714900613,-0.37400633
Kat8,0.039138641,5.980770651,0.321916341,0.747530454,0.999972263,-5.032887404,0.321897359
Katna1,0.103582634,5.194229163,0.647108272,0.517584821,0.999972263,-4.956907473,0.647072812
Katnal2,-0.406261356,1.849721149,-0.524328449,0.600201482,0.999972263,-4.766800612,-0.524110793
Katnb1,-0.09106292,6.337027641,-0.753723255,0.451022356,0.999972263,-5.093444713,-0.753711698
Katnbl1,-0.104651031,4.254957327,-0.859241046,0.39022487,0.999972263,-4.910376163,-0.859209633
Kazald1,0.158703646,3.287114415,0.370531524,0.710995514,0.999972263,-5.074409467,0.370519414
Kazn,-0.160134649,5.82627119,-0.589427422,0.555582248,0.999972263,-5.11941676,-0.589415997
Kbtbd11,-0.373856684,5.543247496,-1.133224802,0.257139845,0.999972263,-4.750294881,-1.133177203
Kbtbd12,-0.297207065,1.5809468,-0.641694732,0.521827245,0.999972263,-4.667764061,-0.640531304
Kbtbd13,-0.335314161,-0.002020653,-0.518772076,0.604087487,0.999972263,-4.754647327,-0.518531502
Kbtbd2,-0.13797564,5.765349711,-1.127071835,0.259742571,0.999972263,-4.719598798,-1.126999787
Kbtbd3,-0.044186232,2.813179646,-0.158176389,0.874475577,0.999972263,-4.718082023,-0.15797617
Kbtbd4,-0.014178332,5.13786605,-0.141832821,0.887214905,0.999972263,-5.158697117,-0.141829217
Kbtbd7,0.100058438,5.903103208,0.546955721,0.584417675,0.999972263,-5.113165923,0.546943317
Kbtbd8,-0.075415179,4.283004144,-0.445554892,0.655924097,0.999972263,-5.171911814,-0.44554756
Kcna2,0.050443616,4.115890545,0.127312173,0.89880557,0.999972263,-4.730631619,0.127170353
Kcna3,0.034355658,3.476853953,0.095581812,0.923891841,0.999972263,-4.787409296,0.095532545
Kcnab1,-0.251808854,5.440618722,-0.787778361,0.430831789,0.999972263,-5.113742217,-0.787769081
Kcnab2,-0.166177718,6.463513254,-0.827246106,0.408101164,0.999972263,-5.170026917,-0.827239787
Kcnab3,0.150280214,3.065651801,0.546066675,0.585252606,0.999972263,-4.740114406,0.545728459
Kcnb1,-0.074039946,4.496979925,-0.387722319,0.698233346,0.999972263,-5.049714237,-0.387706363
Kcnb2,0.127379849,4.090517724,0.227170048,0.82030933,0.999972263,-4.954861995,0.227147139
Kcnc1,-0.033313721,6.506263989,-0.138679712,0.889711601,0.999972263,-5.01912278,-0.138669146
Kcnc2,-0.280066651,5.256121651,-0.983082017,0.325579492,0.999972263,-4.895497752,-0.983056785
Kcnc3,-0.01326097,4.789763633,-0.057806239,0.953903626,0.999972263,-5.245221478,-0.057805414
Kcnc4,-0.137328941,6.073297255,-0.667963086,0.504162334,0.999972263,-5.164589615,-0.667954974
Kcnd1,-0.203909407,3.657551901,-0.997764323,0.318478329,0.999972263,-4.699439327,-0.997589759
Kcnd2,-0.224572828,5.542869546,-1.344559602,0.17878181,0.999972263,-4.619263408,-1.344515306
Kcne2,-0.596258003,-0.776797996,-1.323641004,0.186352605,0.999972263,-4.521720266,-1.321446274
Kcne3,0.544300299,1.033114444,1.206606429,0.229256174,0.999972263,-4.5666543,1.202277131
Kcng1,0.179135933,2.187879247,0.43928706,0.660545993,0.999972263,-4.802414409,0.439159466
Kcng2,-0.263294381,0.986543376,-0.606118219,0.546182745,0.999972263,-4.639997662,-0.603490031
Kcng3,-0.243138633,-0.223382773,-0.743734923,0.457529489,0.999972263,-4.672178665,-0.742921036
Kcnh1,-0.085799169,3.466486989,-0.241737143,0.809014941,0.999972263,-4.885979517,-0.241697017
Kcnh2,-0.015224692,6.262246885,-0.12359432,0.901636889,0.999972263,-5.484112912,-0.123593816
Kcnh4,0.164455819,2.179106937,0.874325372,0.382004889,0.999972263,-4.76611404,0.874208186
Kcnh5,-0.020441508,3.330524602,-0.065880335,0.947537206,0.999972263,-4.723459434,-0.065799812
Kcnh6,-0.032551686,3.936921441,-0.24006498,0.8102835,0.999972263,-5.175156919,-0.240060313
Kcnh8,0.412228447,3.068626773,0.663749046,0.506881485,0.999972263,-4.900783555,0.663701334
