Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1155.1,ZSCAN4,0.14,1,0.1,108,0,Up,23573,0.973002558,20,1,2347,107,Up,0.608543628,-4.110653048,0.676127089,0.215708281
MA1146.1,NR1H4::RXRA,0.15,0,0,160,0.1,Down,24850,0.650241343,20,0,2347,138,Down,0.626248937,-4.720359641,-1.274384728,-0.203252998
MA1641.1,MYF5,0.03,20,1,664,0.3,Up,29973,0.032623027,20,8,2347,312,Up,0.002940049,-2.089643113,1.6391079,2.53164537
MA0075.3,PRRX2,0.04,8,0.4,2791,1.2,Down,30126.5,0.028733193,20,3,2347,1031,Down,0.011066556,-1.86828921,-1.363815746,-1.955987529
MA0664.1,MLXIPL,0.02,5,0.3,165,0.1,Up,25917.5,0.421295525,20,3,2347,111,Up,0.068257626,-3.473103313,1.84581246,1.16584882
MA1129.1,FOSL1::JUN(var.2),0.15,3,0.2,476,0.2,Down,24572,0.717288954,20,1,2347,238,Down,0.713649089,-3.535826745,-0.473525517,-0.146515284
MA1651.1,ZFP42,0.15,14,0.7,987,0.4,Up,29595,0.04416802,20,12,2347,769,Up,0.015085834,-1.161413871,0.895436111,1.821430667
MA0749.1,ZBED1,0.06,0,0,3,0,Down,23500,0.992135294,20,0,2347,3,Down,1,-7.373553263,4.032002516,9.65E-13
MA1565.1,TBX18,0.01,1,0.1,19,0,Up,24453.5,0.746582527,20,1,2347,19,Up,0.156669289,-5.342048364,3.13891772,0.805016128
MA0840.1,Creb5,0.14,2,0.1,356,0.2,Down,24261.5,0.794814909,20,1,2347,199,Down,1,-3.664627005,-0.215924998,-1.301E-12
MA0142.1,Pou5f1::Sox2,0.15,0,0,528,0.2,Down,27890,0.146423632,20,0,2347,442,Down,0.037109025,-3.882463901,-2.950176207,-1.430520455
MA1616.1,Prdm15,0.11,1,0.1,332,0.1,Down,25341,0.538716579,20,1,2347,303,Down,0.500881053,-3.36197312,-0.821232768,-0.300265396
MA0473.3,ELF1,0.11,22,1.1,1401,0.6,Up,29127.5,0.063043276,20,13,2347,1065,Up,0.112622096,-0.871129534,0.536930062,0.948376394
MA0600.2,RFX2,0.13,2,0.1,124,0.1,Up,24015.5,0.857753129,20,1,2347,63,Up,0.423314023,-4.49040713,1.435635252,0.373337344
MA0705.1,Lhx8,0.1,42,2.1,8794,3.7,Down,30754,0.016697324,20,9,2347,1718,Down,0.009072915,-0.779799899,-0.659649185,-2.042253145
MA0628.1,POU6F1,0.04,8,0.4,2432,1,Down,28482.5,0.099566607,20,3,2347,854,Down,0.059935993,-2.004084922,-1.092224322,-1.222312298
MA0072.1,RORA(var.2),0.09,0,0,231,0.1,Down,25720,0.459735139,20,0,2347,225,Down,0.249401761,-4.368738912,-1.977626185,-0.603100484
MA1499.1,HOXB4,0.1,46,2.3,10112,4.3,Down,31417.5,0.009019556,20,14,2347,2071,Down,0.024648315,-0.340010174,-0.319121672,-1.608212757
MA0852.2,FOXK1,0.13,14,0.7,3393,1.4,Down,30446,0.021899526,20,11,2347,1657,Down,0.14181869,-0.668053168,-0.331873761,-0.848266532
MA1103.2,FOXK2,0.08,8,0.4,2250,1,Down,29526,0.046610613,20,8,2347,1310,Down,0.178655134,-1.055548484,-0.429081359,-0.747984498
MA0077.1,SOX9,0.12,18,0.9,3968,1.7,Down,31293.5,0.010153151,20,10,2347,1746,Down,0.019471875,-0.695946548,-0.538576067,-1.710592218
MA0660.1,MEF2B,0.14,3,0.2,289,0.1,Up,24327.5,0.778135991,20,3,2347,263,Up,0.485171011,-2.852723687,0.605053208,0.314105156
MA0911.1,Hoxa11,0.03,1,0.1,31,0,Up,24343,0.774233437,20,1,2347,30,Up,0.232591841,-5.019380804,2.493582601,0.633405523
MA0751.1,ZIC4,0.15,25,1.3,2812,1.2,Up,25329.5,0.541215224,20,14,2347,1317,Up,0.261119854,-0.666446603,0.333751187,0.583160105
MA0091.1,TAL1::TCF3,0.08,0,0,421,0.2,Down,26920,0.256976077,20,0,2347,345,Down,0.101315119,-4.060959773,-2.593184462,-0.99432574
MA0088.2,ZNF143,0.14,2,0.1,130,0.1,Up,24544,0.724175074,20,2,2347,127,Up,0.298206902,-3.619089958,1.166932096,0.525482309
MA1552.1,RARB(var.3),0.15,2,0.1,150,0.1,Up,24407,0.758181011,20,2,2347,140,Up,0.339702946,-3.549053516,1.026859213,0.468900687
MA0607.1,Bhlha15,0.15,104,5.2,13977,6,Down,26926.5,0.256080863,20,16,2347,2206,Down,0.030334711,-0.201261648,-0.223792475,-1.518060142
MA0839.1,CREB3L1,0.11,3,0.2,83,0,Up,26196,0.370422366,20,3,2347,79,Up,0.029856181,-3.717111785,2.333829405,1.524965751
MA0771.1,HSF4,0.06,4,0.2,104,0,Up,27186,0.222098503,20,4,2347,97,Up,0.008927922,-3.388603066,2.401952126,2.049249605
MA0521.1,Tcf12,0.03,20,1,857,0.4,Up,31749,0.006523592,20,12,2347,643,Up,0.003839685,-1.29040446,1.153417289,2.415704363
MA1131.1,FOSL2::JUN(var.2),0.14,5,0.3,822,0.4,Down,25964,0.412527328,20,3,2347,614,Down,0.316223874,-2.241918662,-0.61655684,-0.500005345
MA0599.1,KLF5,0.03,74,3.7,6890,2.9,Up,30013.5,0.031555262,20,20,2347,1826,Up,0.012010581,-0.181021702,0.362043404,1.920435975
MA1584.1,ZIC5,0.15,2,0.1,472,0.2,Down,25156,0.579599765,20,2,2347,397,Down,0.55751553,-2.798861151,-0.473525517,-0.25374303
MA0057.1,MZF1(var.2),0.03,17,0.9,1571,0.7,Up,26811,0.272312278,20,12,2347,1075,Up,0.260703967,-0.919906724,0.412421818,0.58385236
MA0841.1,NFE2,0.1,0,0,157,0.1,Down,24760,0.671671115,20,0,2347,129,Down,0.622707607,-4.76882658,-1.17745085,-0.205715829
MA0782.2,PKNOX1,0.01,1,0.1,23,0,Up,24413.5,0.756556374,20,1,2347,23,Up,0.185067686,-5.207455047,2.869731087,0.732669406
MA1115.1,POU5F1,0.11,30,1.5,5517,2.4,Down,29695,0.040820387,20,13,2347,1977,Down,0.02910723,-0.425055983,-0.355217039,-1.53599912
