Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0758.1,E2F7,0.13,0,0,15,0,Down,29811,0.971165262674825,19,0,3123,15,Down,0.999999999991352,-6.470076861520443,2.36934928531639,0.000000000003756
MA1569.1,TFAP2E,0.05,26,1.4,7200,2.3,Down,35261,0.156014067794831,19,9,3123,1955,Down,0.233447004837021,-0.856550349625616,-0.361848711586095,-0.631811693766154
MA0635.1,BARHL2,0.09,63,3.3,12035,3.9,Down,32957.5,0.404114906610012,19,16,3123,2913,Down,0.133654272847584,-0.170709159360993,-0.140597880285603,-0.874017152549306
MA0828.1,SREBF2(var.2),0.14,0,0,578,0.2,Down,33107.5,0.38302069973843,19,0,3123,362,Down,0.155755885282438,-4.196256424262732,-2.178291589199032,-0.807555534412627
MA0910.2,HOXD8,0.04,18,0.9,3720,1.2,Down,33522.5,0.328265339590014,19,8,3123,1955,Down,0.093586386014134,-0.936782685722239,-0.522313383779341,-1.028787323366175
MA0649.1,HEY2,0.04,0,0,678,0.2,Down,34095.5,0.26145352217153,19,0,3123,466,Down,0.097576011665602,-4.014308381288002,-2.542187675148493,-1.010656937269253
MA0861.1,TP73,0.11,5,0.3,95,0,Up,33693,0.307319230782657,19,3,3123,74,Up,0.010338146665896,-3.933913295453999,2.911731997298708,1.985557310847225
MA0866.1,SOX21,0.14,0,0,77,0,Down,30352.5,0.862254577495855,19,0,3123,72,Down,0.99999999998768,-5.357220471706413,0.143636505688331,0.00000000000535
MA1472.1,BHLHA15(var.2),0.09,63,3.3,10728,3.4,Down,31337.5,0.672031092444358,19,13,3123,2524,Down,0.236158748548787,-0.418840284606594,-0.223348864184371,-0.626795961262016
MA0810.1,TFAP2A(var.2),0.03,0,0,963,0.3,Down,35739,0.123595463417167,19,0,3123,639,Down,0.020408271600359,-3.786774742273063,-2.997254953178372,-1.690193774618173
